GNFR,Category,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
A,Public_Power,1.2,1.15,1.05,1,0.9,0.85,0.8,0.875,0.95,1,1.075,1.15
B,Industry,1.1,1.075,1.05,1,0.95,0.9,0.93,0.95,0.97,1,1.025,1.05
C,Other_Stationary_Combustion,1.7,1.5,1.3,1,0.7,0.4,0.2,0.4,0.7,1.05,1.4,1.65
D,Fugitives,1.2,1.2,1.2,0.8,0.8,0.8,0.8,0.8,0.8,1.2,1.2,1.2
E,Solvents,0.95,0.96,1.02,1,1.01,1.03,1.03,1.01,1.04,1.03,1.01,0.91
F,Road_Transport,0.88,0.92,0.98,1.03,1.05,1.06,1.01,1.02,1.06,1.05,1.01,0.93
G,Shipping,1,1,1,1,1,1,1,1,1,1,1,1
H,Aviation,1,1,1,1,1,1,1,1,1,1,1,1
I,Off_Road,1,1,1,1,1,1,1,1,1,1,1,1
J,Waste,1,1,1,1,1,1,1,1,1,1,1,1
K,Agricultural_Livestock,0.7,0.75,0.85,0.9,1,1.1,1.2,1.25,1.3,1.1,1,0.85
L,Agricultural_Other,0,2,4.75,2.9,0.5,0.4,0.2,0.5,0.75,0,0,0
