,Cropland,Cropland,Deciduous,Deciduous,Evergreen,Evergreen,Grassland,Grassland
,evi,lswi,evi,lswi,evi,lswi,evi,lswi
2021-01-24,,,,,0.318,0.686,,
2021-02-20,0.478,0.261,,,0.38,0.334,0.484,0.223
2021-02-23,0.444,0.265,,,0.292,0.38,0.499,0.256
2021-02-25,0.469,0.238,0.279,0.034,0.302,0.389,0.555,0.274
2021-03-02,0.494,0.24,0.235,-0.046,0.318,0.413,0.567,0.253
2021-03-12,0.489,0.26,0.421,0.151,0.31,0.287,0.563,0.196
2021-03-20,0.536,0.404,,,0.354,0.519,0.749,0.426
2021-03-25,,,,,0.315,0.402,,
2021-03-30,,,0.255,0.016,0.302,0.352,0.767,0.419
2021-04-01,0.566,0.308,0.271,-0.039,0.337,0.343,0.721,0.378
2021-04-04,0.528,0.3,0.264,-0.003,0.306,0.414,0.729,0.421
2021-04-11,0.586,0.319,0.324,-0.002,0.344,0.341,0.749,0.404
2021-04-14,0.539,0.418,0.416,0.155,0.394,0.41,0.56,0.424
2021-04-16,0.646,0.344,0.294,-0.039,0.358,0.331,0.73,0.409
2021-04-19,0.653,0.359,,,0.342,0.321,0.919,0.468
2021-04-21,0.657,0.408,0.312,0.029,0.36,0.331,0.756,0.391
2021-04-24,0.667,0.427,0.325,0.094,0.317,0.384,0.739,0.41
2021-05-09,0.643,0.477,0.578,0.341,0.348,0.368,0.767,0.454
2021-05-14,0.66,0.54,0.767,0.431,0.492,0.455,,
2021-05-19,0.639,0.64,,,,,0.766,0.555
2021-05-29,0.677,0.527,0.732,0.438,0.53,0.325,0.792,0.44
2021-05-31,0.749,0.515,0.775,0.419,0.52,0.432,0.751,0.387
2021-06-03,0.656,0.413,0.59,0.335,0.544,0.512,0.656,0.342
2021-06-08,,,0.48,0.232,,,,
2021-06-10,0.701,0.499,0.75,0.4,0.522,0.456,0.802,0.429
2021-06-13,0.778,0.572,0.822,0.461,0.572,0.499,0.751,0.318
2021-06-15,0.785,0.518,0.768,0.411,0.56,0.449,0.692,0.335
2021-06-18,0.659,0.471,0.643,0.402,0.456,0.4,0.598,0.333
2021-06-23,,,0.853,0.484,0.657,0.422,0.894,0.416
2021-06-30,0.667,0.438,0.877,0.389,,,,
2021-07-10,0.374,0.303,0.745,0.401,0.547,0.476,0.769,0.361
2021-07-18,0.387,0.321,0.77,0.427,0.555,0.501,0.62,0.362
2021-07-20,0.566,0.271,0.744,0.391,0.563,0.437,0.794,0.323
2021-07-23,0.399,0.061,0.661,0.404,0.425,0.525,0.754,0.336
2021-07-30,,,0.757,0.375,,,0.689,0.315
2021-08-02,0.588,0.319,0.702,0.407,0.582,0.523,0.794,0.347
2021-08-12,0.519,0.27,0.631,0.386,0.454,0.492,0.754,0.353
2021-08-14,0.606,0.264,0.643,0.347,0.481,0.441,0.763,0.343
2021-08-17,0.53,0.332,0.618,0.319,0.425,0.325,,
2021-08-27,0.58,0.267,,,,,,
2021-09-01,0.536,0.317,0.588,0.398,0.422,0.535,0.706,0.332
2021-09-03,0.531,0.174,0.618,0.364,0.451,0.48,0.724,0.313
2021-09-06,0.485,0.204,0.576,0.378,0.409,0.5,0.697,0.293
2021-09-08,0.543,0.229,0.628,0.362,0.458,0.472,0.7,0.273
2021-09-11,0.677,0.457,0.63,0.392,0.439,0.537,0.644,0.228
2021-09-13,0.472,0.27,0.605,0.358,0.451,0.492,0.666,0.256
2021-09-16,,,0.74,0.407,0.292,0.352,,
2021-09-18,0.521,0.302,0.603,0.366,0.447,0.516,0.733,0.321
2021-09-21,0.545,0.326,0.58,0.399,0.399,0.575,0.765,0.378
2021-09-23,,,0.47,0.238,0.465,0.427,0.476,0.308
2021-10-01,0.571,0.374,0.538,0.39,0.396,0.554,0.772,0.392
2021-10-06,0.67,0.365,0.659,0.457,0.425,0.607,0.893,0.446
2021-10-13,0.57,0.437,0.53,0.397,0.441,0.552,0.543,0.424
2021-10-16,0.743,0.415,0.491,0.293,0.37,0.531,,
2021-10-18,0.624,0.294,0.504,0.346,0.402,0.522,0.792,0.434
2021-10-21,0.592,0.334,0.866,0.369,0.436,0.447,0.826,0.429
2021-10-23,0.589,0.362,0.419,0.315,0.37,0.54,0.682,0.373
2021-10-28,0.667,0.336,0.328,0.29,0.395,0.537,,
2021-10-31,0.558,0.351,0.322,0.222,0.33,0.55,0.653,0.369
2021-11-05,0.344,0.311,,,,,,
2021-11-07,,,0.281,0.161,0.364,0.494,0.638,0.374
2021-11-12,,,,,0.547,0.373,,
2021-11-27,0.742,0.522,,,,,0.536,0.454
2021-12-05,0.38,0.233,,,,,,
2021-12-07,0.46,0.519,,,0.347,0.607,0.699,0.397
2022-01-01,0.591,0.399,,,0.341,0.513,0.524,0.37
2022-01-14,0.439,0.375,,,0.318,0.721,,
2022-01-16,0.485,0.397,,,0.401,0.674,,
2022-01-19,0.43,0.331,,,0.322,0.662,0.615,0.322
2022-01-21,0.521,0.371,0.346,0.136,0.359,0.579,0.641,0.365
2022-01-26,0.457,0.313,0.265,0.034,0.407,0.555,0.701,0.385
2022-01-29,0.443,0.352,0.265,0.092,0.378,0.517,,
2022-02-05,0.423,0.274,0.25,0.054,0.356,0.525,0.602,0.34
2022-02-08,0.376,0.174,0.285,0.081,0.306,0.575,0.629,0.352
2022-02-10,0.395,0.228,0.244,-0.011,0.329,0.499,0.571,0.296
2022-02-13,0.37,0.249,0.231,0.019,0.289,0.52,0.56,0.323
2022-02-20,,,,,0.426,0.24,,
2022-02-23,,,0.258,0.035,0.345,0.341,0.627,0.343
2022-02-25,0.488,0.283,0.341,0.076,0.32,0.309,0.774,0.374
2022-02-28,0.379,0.243,0.245,-0.005,0.299,0.543,0.599,0.333
2022-03-05,0.41,0.181,0.235,-0.036,0.291,0.486,0.542,0.253
2022-03-07,0.432,0.198,0.272,-0.058,0.342,0.476,0.572,0.233
2022-03-10,0.427,0.208,0.251,-0.021,0.3,0.505,0.545,0.244
2022-03-20,0.463,0.24,0.279,0.037,0.305,0.453,0.6,0.299
2022-03-22,0.483,0.244,0.259,-0.032,0.328,0.424,0.611,0.287
2022-03-25,0.5,0.267,0.269,-0.003,0.302,0.42,0.624,0.311
2022-03-27,0.555,0.279,0.275,0.006,0.349,0.41,0.654,0.31
2022-04-04,0.647,0.409,,,,,0.756,0.347
2022-04-06,0.574,0.385,0.308,0.044,0.348,0.4,0.714,0.346
2022-04-09,0.416,0.642,,,0.502,0.489,0.698,0.497
2022-04-11,,,0.295,0.108,0.379,0.354,0.674,0.406
2022-04-14,0.693,0.481,0.326,0.097,0.317,0.382,0.717,0.399
2022-04-19,0.743,0.532,0.376,0.178,0.336,0.413,0.75,0.438
2022-04-21,0.76,0.514,0.414,0.184,0.356,0.382,0.764,0.419
2022-04-29,,,,,,,0.8,0.489
2022-05-01,0.848,0.587,0.642,0.387,0.402,0.435,0.922,0.486
2022-05-04,0.874,0.534,0.685,0.424,0.408,0.451,0.85,0.484
2022-05-11,0.729,0.422,0.738,0.409,0.457,0.422,0.791,0.393
2022-05-14,0.838,0.564,0.804,0.436,0.58,0.447,0.806,0.395
2022-05-16,0.803,0.513,0.82,0.413,0.511,0.43,0.679,0.298
2022-05-19,0.891,0.568,0.687,0.433,0.507,0.413,0.768,0.399
2022-05-21,,,,,0.648,0.395,,
